user_id,gender,age
1,أنثى,21
2,ذكر,29
3,أنثى,41
4,أنثى,25
5,ذكر,22
6,ذكر,36
7,ذكر,28
8,أنثى,37
9,ذكر,39
10,أنثى,19
11,أنثى,42
12,ذكر,27
13,أنثى,31
14,ذكر,25
15,أنثى,39
16,أنثى,43
17,أنثى,58
18,ذكر,37
19,أنثى,39
20,أنثى,38
21,أنثى,23
22,ذكر,30
23,ذكر,29
24,ذكر,30
25,أنثى,32
26,ذكر,28
27,ذكر,54
28,أنثى,39
29,ذكر,43
30,ذكر,33
31,أنثى,40
32,أنثى,42
33,أنثى,45
34,ذكر,22
35,ذكر,30
36,ذكر,55
37,أنثى,31
38,أنثى,33
39,أنثى,35
40,ذكر,29
41,أنثى,30
42,أنثى,52
43,ذكر,29
44,أنثى,36
45,ذكر,23
46,ذكر,40
47,أنثى,34
48,ذكر,33
49,أنثى,37
50,أنثى,49
51,ذكر,43
52,أنثى,37
53,ذكر,40
54,ذكر,34
55,ذكر,56
56,أنثى,30
57,ذكر,28
58,أنثى,50
59,ذكر,40
60,أنثى,27
61,أنثى,37
62,أنثى,37
63,ذكر,31
64,ذكر,54
65,أنثى,48
66,ذكر,23
67,أنثى,55
68,ذكر,35
69,ذكر,45
70,أنثى,26
71,ذكر,37
72,ذكر,50
73,ذكر,28
74,أنثى,43
75,ذكر,31
76,أنثى,41
77,ذكر,36
78,ذكر,29
79,ذكر,38
80,ذكر,29
81,ذكر,40
82,ذكر,52
83,أنثى,24
84,ذكر,41
85,ذكر,26
86,أنثى,38
87,ذكر,46
88,أنثى,28
89,ذكر,34
90,ذكر,35
91,أنثى,41
92,أنثى,25
93,ذكر,32
94,أنثى,29
95,ذكر,34
96,ذكر,30
97,ذكر,53
98,ذكر,49
99,أنثى,23
100,أنثى,48
101,أنثى,53
102,أنثى,27
103,ذكر,28
104,ذكر,23
105,ذكر,60
106,ذكر,46
107,ذكر,34
108,أنثى,62
109,أنثى,43
110,ذكر,30
111,أنثى,38
112,أنثى,44
113,ذكر,38
114,ذكر,49
115,ذكر,56
116,ذكر,28
117,أنثى,41
118,ذكر,26
119,أنثى,29
120,أنثى,39
121,ذكر,38
122,أنثى,54
123,ذكر,43
124,ذكر,33
125,أنثى,31
126,ذكر,44
127,ذكر,35
128,أنثى,62
129,ذكر,28
130,ذكر,54
131,أنثى,50
132,ذكر,27
133,أنثى,42
134,أنثى,60
135,أنثى,20
136,أنثى,31
137,أنثى,54
138,ذكر,26
139,ذكر,37
140,ذكر,39
141,أنثى,28
142,أنثى,30
143,ذكر,52
144,أنثى,25
145,ذكر,30
146,ذكر,45
147,أنثى,30
148,أنثى,37
149,ذكر,20
150,ذكر,51
151,أنثى,37
152,أنثى,38
153,ذكر,26
154,ذكر,52
155,أنثى,49
156,أنثى,28
157,ذكر,25
158,أنثى,51
159,ذكر,40
160,ذكر,54
161,أنثى,58
162,أنثى,51
163,ذكر,44
164,ذكر,54
165,أنثى,50
166,أنثى,30
167,أنثى,25
168,أنثى,49
169,ذكر,47
170,ذكر,31
171,أنثى,29
172,ذكر,28
173,ذكر,50
174,أنثى,30
175,أنثى,33
176,أنثى,37
177,أنثى,26
178,أنثى,28
179,أنثى,30
180,ذكر,34
181,أنثى,31
182,أنثى,36
183,ذكر,38
184,ذكر,43
185,ذكر,53
186,أنثى,43
187,أنثى,41
188,ذكر,24
189,أنثى,31
190,ذكر,49
191,أنثى,31
192,ذكر,33
193,ذكر,30
194,ذكر,34
195,أنثى,41
196,أنثى,39
197,ذكر,37
198,ذكر,30
199,ذكر,38
200,أنثى,35
201,ذكر,28
202,ذكر,52
203,أنثى,27
204,ذكر,36
205,أنثى,31
206,أنثى,44
207,أنثى,29
208,ذكر,21
209,ذكر,35
210,أنثى,24
211,ذكر,40
212,ذكر,42
213,ذكر,29
214,أنثى,19
215,أنثى,45
216,ذكر,34
217,ذكر,56
218,ذكر,23
219,ذكر,49
220,ذكر,46
221,أنثى,60
222,أنثى,55
223,أنثى,39
224,أنثى,36
225,أنثى,37
226,أنثى,44
227,ذكر,30
228,ذكر,40
229,أنثى,36
230,أنثى,30
231,ذكر,30
232,ذكر,31
233,أنثى,26
234,ذكر,42
235,أنثى,24
236,ذكر,37
237,ذكر,28
238,ذكر,52
239,أنثى,42
240,أنثى,45
241,ذكر,19
242,ذكر,44
243,أنثى,56
244,ذكر,44
245,أنثى,39
246,ذكر,29
247,ذكر,22
248,ذكر,42
249,ذكر,27
250,ذكر,26
251,أنثى,21
252,ذكر,38
253,ذكر,40
254,ذكر,35
255,ذكر,33
256,ذكر,31
257,أنثى,33
258,أنثى,48
259,ذكر,24
260,ذكر,37
261,أنثى,32
262,أنثى,46
263,أنثى,44
264,أنثى,28
