order_item_id,user_id,order_id,product_id,quantity,unit_price,price
1,333,1,32,1,182.43,0.0
2,333,1,34,2,269.1,0.0
3,333,1,37,1,113.29,0.0
4,333,1,39,1,51.31,0.0
5,333,1,31,1,118.65,0.0
6,172,2,8,1,338.12,0.0
7,172,2,42,1,162.27,0.0
8,172,2,46,1,121.09,0.0
9,172,2,48,1,377.48,0.0
10,172,2,50,1,103.84,0.0
11,119,3,17,1,281.04,0.0
12,119,3,135,1,248.61,0.0
13,233,4,20,1,600.91,0.0
14,233,4,189,1,46.18,0.0
15,56,5,9,1,864.52,0.0
16,56,5,2,1,6856.93,0.0
17,56,5,3,1,182.88,0.0
18,56,5,6,1,2618.75,0.0
19,26,6,138,2,2075.88,0.0
20,26,6,141,1,449.82,0.0
21,112,7,32,1,182.43,0.0
22,112,7,18,1,685.51,0.0
23,112,7,37,1,113.29,0.0
24,112,7,31,2,118.65,0.0
25,412,8,80,1,996.58,0.0
26,412,8,44,1,1768.56,0.0
27,408,9,162,2,2324.66,0.0
28,408,9,62,2,122.09,0.0
29,120,10,115,1,131.51,0.0
30,444,11,51,1,66.67,0.0
31,444,11,53,1,95.99,0.0
32,444,11,54,1,131.19,0.0
33,444,11,56,1,327.69,0.0
34,444,11,63,2,557.39,0.0
35,215,12,32,1,182.43,0.0
36,215,12,37,1,113.29,0.0
37,215,12,31,1,118.65,0.0
38,96,13,48,1,377.48,0.0
39,96,13,41,1,708.68,0.0
40,96,13,162,1,2324.66,0.0
41,96,13,47,1,691.19,0.0
42,325,14,99,1,185.24,0.0
43,325,14,12,1,378.07,0.0
44,308,15,148,1,658.67,0.0
45,101,16,33,1,404.5,0.0
46,101,16,47,1,691.19,0.0
47,197,17,128,1,664.23,0.0
48,197,17,19,1,195.42,0.0
49,457,18,65,1,586.82,0.0
50,457,18,1,1,5429.43,0.0
51,457,18,3,1,182.88,0.0
52,457,18,4,1,1045.02,0.0
53,434,19,132,1,284.92,0.0
54,384,20,48,1,377.48,0.0
55,384,20,57,1,215.42,0.0
56,384,20,42,1,162.27,0.0
57,384,20,47,1,691.19,0.0
58,319,21,34,1,269.1,0.0
59,319,21,35,1,790.82,0.0
60,319,21,38,1,325.54,0.0
61,319,21,170,1,810.36,0.0
62,319,21,79,1,421.1,0.0
63,231,22,8,1,338.12,0.0
64,479,23,51,1,66.67,0.0
65,479,23,53,2,95.99,0.0
66,479,23,54,1,131.19,0.0
67,426,24,99,1,185.24,0.0
68,322,25,79,1,421.1,0.0
69,40,26,56,1,327.69,0.0
70,40,26,51,1,66.67,0.0
71,40,26,53,1,95.99,0.0
72,40,26,54,2,131.19,0.0
73,110,27,51,1,66.67,0.0
74,110,27,54,1,131.19,0.0
75,337,28,32,1,182.43,0.0
76,337,28,39,1,51.31,0.0
77,337,28,37,1,113.29,0.0
78,337,28,31,1,118.65,0.0
79,246,29,48,2,377.48,0.0
80,246,29,41,1,708.68,0.0
81,246,29,88,1,398.34,0.0
82,246,29,47,1,691.19,0.0
83,113,30,25,2,958.76,0.0
84,113,30,26,1,547.5,0.0
85,113,30,28,1,207.71,0.0
86,113,30,29,1,137.26,0.0
87,286,31,165,1,867.11,0.0
88,272,32,168,1,126.51,0.0
89,37,33,84,2,98.36,0.0
90,37,33,25,1,958.76,0.0
91,37,33,26,1,547.5,0.0
92,37,33,28,1,207.71,0.0
93,37,33,29,1,137.26,0.0
94,37,33,31,1,118.65,0.0
95,222,34,104,1,146.34,0.0
96,232,35,33,1,404.5,0.0
97,232,35,34,1,269.1,0.0
98,232,35,35,1,790.82,0.0
99,232,35,8,1,338.12,0.0
100,232,35,107,1,5057.62,0.0
101,338,36,33,1,404.5,0.0
102,338,36,34,1,269.1,0.0
103,338,36,35,1,790.82,0.0
104,225,37,41,1,708.68,0.0
105,225,37,42,1,162.27,0.0
106,225,37,157,1,278.2,0.0
107,225,37,47,1,691.19,0.0
108,340,38,48,2,377.48,0.0
109,340,38,41,1,708.68,0.0
110,340,38,26,1,547.5,0.0
111,340,38,47,1,691.19,0.0
112,441,39,8,1,338.12,0.0
113,441,39,113,1,61.24,0.0
114,445,40,161,1,280.14,0.0
115,221,41,2,1,6856.93,0.0
116,221,41,3,2,182.88,0.0
117,221,41,6,1,2618.75,0.0
118,221,41,9,1,864.52,0.0
119,221,41,147,1,4075.22,0.0
120,391,42,167,1,104.4,0.0
