product_id,name,display_name,category,subcategory,brand,price,description_length,description_length_words,description_length_chars,image_count,number_of_images,image_url,has_image,category_code,rating,review_count,product_age_days,created_at
1,هاتف ذكي برو ماكس,هاتف ذكي برو ماكس,الالكترونيات,unknown_subcategory,ابل,5429.43,70,12,70,4,4,,False,الالكترونيات,3.7,0,1239.0,2023-01-12 18:11:01
2,لابتوب الترا سليم,لابتوب الترا سليم,الالكترونيات,unknown_subcategory,شاومي,6856.93,75,13,75,2,2,,False,الالكترونيات,4.9,0,1122.0,2023-05-09 16:43:34
3,سماعات لاسلكيه,سماعات لاسلكيه,الالكترونيات,unknown_subcategory,سامسونج,182.88,75,11,75,8,8,,False,الالكترونيات,3.7,0,1141.0,2023-04-20 15:07:26
4,ساعه ذكيه سبورت,ساعه ذكيه سبورت,الالكترونيات,unknown_subcategory,شاومي,1045.02,76,12,76,4,4,,False,الالكترونيات,4.6,0,1100.0,2023-05-31 08:49:08
5,تابلت 10 انش,تابلت 10 انش,الالكترونيات,unknown_subcategory,سامسونج,1043.64,73,12,73,6,6,,False,الالكترونيات,5.0,0,1202.0,2023-02-18 16:07:59
6,شاشه 4K 27 انش,شاشه 4K 27 انش,الالكترونيات,unknown_subcategory,ابل,2618.75,75,13,75,4,4,,False,الالكترونيات,3.1,0,1097.0,2023-06-03 09:35:43
7,كاميرا ميرورليس,كاميرا ميرورليس,الالكترونيات,unknown_subcategory,ال جي,2063.12,76,11,76,7,7,,False,الالكترونيات,3.5,0,1169.0,2023-03-23 17:49:06
8,مكبر صوت بلوتوث,مكبر صوت بلوتوث,الالكترونيات,unknown_subcategory,ابل,338.12,68,11,68,6,6,,False,الالكترونيات,4.6,0,1229.0,2023-01-22 04:13:42
9,راوتر واي فاي 6,راوتر واي فاي 6,الالكترونيات,unknown_subcategory,شاومي,864.52,68,12,68,6,6,,False,الالكترونيات,3.1,0,1192.0,2023-02-28 13:41:57
10,شاحن لاسلكي سريع,شاحن لاسلكي سريع,الالكترونيات,unknown_subcategory,سامسونج,96.42,74,13,74,5,5,,False,الالكترونيات,4.0,0,1117.0,2023-05-14 05:26:45
11,قميص قطني كلاسيكي,قميص قطني كلاسيكي,الازياء والملابس,unknown_subcategory,بوما,73.96,68,11,68,3,3,,False,الازياء والملابس,3.2,0,1238.0,2023-01-13 18:06:05
12,فستان سهره انيق,فستان سهره انيق,الازياء والملابس,unknown_subcategory,نايكي,378.07,64,10,64,5,5,,False,الازياء والملابس,4.2,0,1152.0,2023-04-09 04:02:19
13,بنطلون جينز سليم فيت,بنطلون جينز سليم فيت,الازياء والملابس,unknown_subcategory,H&M,342.07,71,12,71,7,7,,False,الازياء والملابس,3.2,0,1080.0,2023-06-20 10:24:26
14,عباءه مطرزه فاخره,عباءه مطرزه فاخره,الازياء والملابس,unknown_subcategory,ماكس فاشون,687.06,66,10,66,4,4,,False,الازياء والملابس,4.8,0,1090.0,2023-06-10 16:03:11
15,حذاء رياضي مريح,حذاء رياضي مريح,الازياء والملابس,unknown_subcategory,اديداس,478.33,64,10,64,7,7,,False,الازياء والملابس,3.6,0,1201.0,2023-02-19 11:52:21
16,حقيبه يد جلديه,حقيبه يد جلديه,الازياء والملابس,unknown_subcategory,مانجو,680.77,64,11,64,8,8,,False,الازياء والملابس,3.9,0,1234.0,2023-01-17 13:49:36
17,شال كشمير ناعم,شال كشمير ناعم,الازياء والملابس,unknown_subcategory,H&M,281.04,64,11,64,6,6,,False,الازياء والملابس,3.7,0,1239.0,2023-01-12 15:31:53
18,جاكيت شتوي دافي,جاكيت شتوي دافي,الازياء والملابس,unknown_subcategory,نايكي,685.51,66,11,66,8,8,,False,الازياء والملابس,3.8,0,1168.0,2023-03-24 03:01:42
19,تيشيرت بولو قطن,تيشيرت بولو قطن,الازياء والملابس,unknown_subcategory,زارا,195.42,64,10,64,2,2,,False,الازياء والملابس,4.2,0,1138.0,2023-04-23 05:17:43
20,حذاء رسمي جلد,حذاء رسمي جلد,الازياء والملابس,unknown_subcategory,مانجو,600.91,63,11,63,4,4,,False,الازياء والملابس,3.4,0,1086.0,2023-06-14 03:43:32
21,مكيف هواء انفيرتر 18000,مكيف هواء انفيرتر 18000,المنزل والمطبخ,unknown_subcategory,بوش,2953.99,67,10,67,8,8,,False,المنزل والمطبخ,4.1,0,1142.0,2023-04-19 22:17:22
22,غساله اوتوماتيك 8 كيلو,غساله اوتوماتيك 8 كيلو,المنزل والمطبخ,unknown_subcategory,فيليبس,2057.09,72,14,72,4,4,,False,المنزل والمطبخ,4.3,0,1245.0,2023-01-06 14:55:53
23,ثلاجه نوفروست 350 لتر,ثلاجه نوفروست 350 لتر,المنزل والمطبخ,unknown_subcategory,اريتي,3803.84,76,13,76,8,8,,False,المنزل والمطبخ,3.7,0,1223.0,2023-01-28 19:36:01
24,مكنسه كهرباييه لاسلكيه,مكنسه كهرباييه لاسلكيه,المنزل والمطبخ,unknown_subcategory,هايسنس,362.63,77,12,77,2,2,,False,المنزل والمطبخ,4.5,0,1106.0,2023-05-25 21:07:58
25,ماكينه قهوه اسبريسو,ماكينه قهوه اسبريسو,المنزل والمطبخ,unknown_subcategory,هايسنس,958.76,63,9,63,4,4,,False,المنزل والمطبخ,3.7,0,1110.0,2023-05-21 02:52:51
26,طقم اواني طهي غرانيت,طقم اواني طهي غرانيت,المنزل والمطبخ,unknown_subcategory,بوش,547.5,70,14,70,2,2,,False,المنزل والمطبخ,3.3,0,1120.0,2023-05-11 20:55:18
27,فرن كهربايي 60 لتر,فرن كهربايي 60 لتر,المنزل والمطبخ,unknown_subcategory,توشيبا,1128.13,62,10,62,5,5,,False,المنزل والمطبخ,4.0,0,1197.0,2023-02-23 01:02:59
28,خلاط كهربايي متعدد الوظايف,خلاط كهربايي متعدد الوظايف,المنزل والمطبخ,unknown_subcategory,بوش,207.71,76,14,76,7,7,,False,المنزل والمطبخ,3.2,0,1135.0,2023-04-26 04:12:21
29,مجموعه سكاكين مطبخ,مجموعه سكاكين مطبخ,المنزل والمطبخ,unknown_subcategory,اريتي,137.26,68,13,68,2,2,,False,المنزل والمطبخ,3.8,0,1249.0,2023-01-02 11:49:27
30,مكواه بخاريه احترافيه,مكواه بخاريه احترافيه,المنزل والمطبخ,unknown_subcategory,تيفال,583.67,65,9,65,4,4,,False,المنزل والمطبخ,4.5,0,1227.0,2023-01-24 07:10:03
31,كريم مرطب SPF 50,كريم مرطب SPF 50,الجمال والعنايه,unknown_subcategory,دوف,118.65,67,12,67,3,3,,False,الجمال والعنايه,3.8,0,1153.0,2023-04-08 03:23:29
32,سيروم فيتامين سي,سيروم فيتامين سي,الجمال والعنايه,unknown_subcategory,بيوتانيا,182.43,80,14,80,5,5,,False,الجمال والعنايه,4.7,0,1247.0,2023-01-04 15:20:30
