product_id,name,category,brand,price,rating,description,image_count,created_at,subcategory,image_url,review_count,display_name,has_image
1,هاتف ذكي برو ماكس,الالكترونيات,ابل,5429.43,3.7,هاتف ذكي برو ماكس بمعالج سريع وذاكره واسعه لتجربه استخدام سلسه ومريحه.,4,2023-01-12 18:11:01,unknown_subcategory,,0,هاتف ذكي برو ماكس,False
2,لابتوب الترا سليم,الالكترونيات,شاومي,6856.93,4.9,يتميز لابتوب الترا سليم بتصميم انيق وبطاريه تدوم طويلا مع شاشه عاليه الدقه.,2,2023-05-09 16:43:34,unknown_subcategory,,0,لابتوب الترا سليم,False
3,سماعات لاسلكيه,الالكترونيات,سامسونج,182.88,3.7,جهاز سماعات لاسلكيه بتقنيه متطوره واداء عال يناسب الاستخدام اليومي والمهني.,8,2023-04-20 15:07:26,unknown_subcategory,,0,سماعات لاسلكيه,False
4,ساعه ذكيه سبورت,الالكترونيات,شاومي,1045.02,4.6,جهاز ساعه ذكيه سبورت بتقنيه متطوره واداء عال يناسب الاستخدام اليومي والمهني.,4,2023-05-31 08:49:08,unknown_subcategory,,0,ساعه ذكيه سبورت,False
5,تابلت 10 انش,الالكترونيات,سامسونج,1043.64,5.0,جهاز تابلت 10 انش بتقنيه متطوره واداء عال يناسب الاستخدام اليومي والمهني.,6,2023-02-18 16:07:59,unknown_subcategory,,0,تابلت 10 انش,False
6,شاشه 4K 27 انش,الالكترونيات,ابل,2618.75,3.1,جهاز شاشه 4K 27 انش بتقنيه متطوره واداء عال يناسب الاستخدام اليومي والمهني.,4,2023-06-03 09:35:43,unknown_subcategory,,0,شاشه 4K 27 انش,False
7,كاميرا ميرورليس,الالكترونيات,ال جي,2063.12,3.5,جهاز كاميرا ميرورليس بتقنيه متطوره واداء عال يناسب الاستخدام اليومي والمهني.,7,2023-03-23 17:49:06,unknown_subcategory,,0,كاميرا ميرورليس,False
8,مكبر صوت بلوتوث,الالكترونيات,ابل,338.12,4.6,مكبر صوت بلوتوث بمعالج سريع وذاكره واسعه لتجربه استخدام سلسه ومريحه.,6,2023-01-22 04:13:42,unknown_subcategory,,0,مكبر صوت بلوتوث,False
9,راوتر واي فاي 6,الالكترونيات,شاومي,864.52,3.1,راوتر واي فاي 6 بمعالج سريع وذاكره واسعه لتجربه استخدام سلسه ومريحه.,6,2023-02-28 13:41:57,unknown_subcategory,,0,راوتر واي فاي 6,False
10,شاحن لاسلكي سريع,الالكترونيات,سامسونج,96.42,4.0,يتميز شاحن لاسلكي سريع بتصميم انيق وبطاريه تدوم طويلا مع شاشه عاليه الدقه.,5,2023-05-14 05:26:45,unknown_subcategory,,0,شاحن لاسلكي سريع,False
11,قميص قطني كلاسيكي,الازياء والملابس,بوما,73.96,3.2,قميص قطني كلاسيكي بخيوط عاليه الجوده ومتاح بالوان متعدده تناسب ذوقك.,3,2023-01-13 18:06:05,unknown_subcategory,,0,قميص قطني كلاسيكي,False
12,فستان سهره انيق,الازياء والملابس,نايكي,378.07,4.2,فستان سهره انيق يجمع بين الراحه والاناقه ليناسب مختلف المناسبات.,5,2023-04-09 04:02:19,unknown_subcategory,,0,فستان سهره انيق,False
13,بنطلون جينز سليم فيت,الازياء والملابس,H&M,342.07,3.2,بنطلون جينز سليم فيت بخيوط عاليه الجوده ومتاح بالوان متعدده تناسب ذوقك.,7,2023-06-20 10:24:26,unknown_subcategory,,0,بنطلون جينز سليم فيت,False
14,عباءه مطرزه فاخره,الازياء والملابس,ماكس فاشون,687.06,4.8,عباءه مطرزه فاخره يجمع بين الراحه والاناقه ليناسب مختلف المناسبات.,4,2023-06-10 16:03:11,unknown_subcategory,,0,عباءه مطرزه فاخره,False
15,حذاء رياضي مريح,الازياء والملابس,اديداس,478.33,3.6,حذاء رياضي مريح يجمع بين الراحه والاناقه ليناسب مختلف المناسبات.,7,2023-02-19 11:52:21,unknown_subcategory,,0,حذاء رياضي مريح,False
16,حقيبه يد جلديه,الازياء والملابس,مانجو,680.77,3.9,حقيبه يد جلديه مصنوع من اجود الخامات لاطلاله عصريه واناقه لافته.,8,2023-01-17 13:49:36,unknown_subcategory,,0,حقيبه يد جلديه,False
17,شال كشمير ناعم,الازياء والملابس,H&M,281.04,3.7,شال كشمير ناعم مصنوع من اجود الخامات لاطلاله عصريه واناقه لافته.,6,2023-01-12 15:31:53,unknown_subcategory,,0,شال كشمير ناعم,False
18,جاكيت شتوي دافي,الازياء والملابس,نايكي,685.51,3.8,جاكيت شتوي دافي بخيوط عاليه الجوده ومتاح بالوان متعدده تناسب ذوقك.,8,2023-03-24 03:01:42,unknown_subcategory,,0,جاكيت شتوي دافي,False
19,تيشيرت بولو قطن,الازياء والملابس,زارا,195.42,4.2,تيشيرت بولو قطن يجمع بين الراحه والاناقه ليناسب مختلف المناسبات.,2,2023-04-23 05:17:43,unknown_subcategory,,0,تيشيرت بولو قطن,False
20,حذاء رسمي جلد,الازياء والملابس,مانجو,600.91,3.4,حذاء رسمي جلد مصنوع من اجود الخامات لاطلاله عصريه واناقه لافته.,4,2023-06-14 03:43:32,unknown_subcategory,,0,حذاء رسمي جلد,False
21,مكيف هواء انفيرتر 18000,المنزل والمطبخ,بوش,2953.99,4.1,مكيف هواء انفيرتر 18000 مناسب للاستخدام المنزلي اليومي بضمان سنتين.,8,2023-04-19 22:17:22,unknown_subcategory,,0,مكيف هواء انفيرتر 18000,False
22,غساله اوتوماتيك 8 كيلو,المنزل والمطبخ,فيليبس,2057.09,4.3,احصل علي غساله اوتوماتيك 8 كيلو الان واستمتع بجوده لا مثيل لها في منزلك.,4,2023-01-06 14:55:53,unknown_subcategory,,0,غساله اوتوماتيك 8 كيلو,False
23,ثلاجه نوفروست 350 لتر,المنزل والمطبخ,اريتي,3803.84,3.7,ثلاجه نوفروست 350 لتر يوفر اداء استثناييا مع توفير للطاقه وسهوله في التشغيل.,8,2023-01-28 19:36:01,unknown_subcategory,,0,ثلاجه نوفروست 350 لتر,False
24,مكنسه كهرباييه لاسلكيه,المنزل والمطبخ,هايسنس,362.63,4.5,مكنسه كهرباييه لاسلكيه يوفر اداء استثناييا مع توفير للطاقه وسهوله في التشغيل.,2,2023-05-25 21:07:58,unknown_subcategory,,0,مكنسه كهرباييه لاسلكيه,False
25,ماكينه قهوه اسبريسو,المنزل والمطبخ,هايسنس,958.76,3.7,ماكينه قهوه اسبريسو مناسب للاستخدام المنزلي اليومي بضمان سنتين.,4,2023-05-21 02:52:51,unknown_subcategory,,0,ماكينه قهوه اسبريسو,False
26,طقم اواني طهي غرانيت,المنزل والمطبخ,بوش,547.5,3.3,احصل علي طقم اواني طهي غرانيت الان واستمتع بجوده لا مثيل لها في منزلك.,2,2023-05-11 20:55:18,unknown_subcategory,,0,طقم اواني طهي غرانيت,False
27,فرن كهربايي 60 لتر,المنزل والمطبخ,توشيبا,1128.13,4.0,فرن كهربايي 60 لتر مناسب للاستخدام المنزلي اليومي بضمان سنتين.,5,2023-02-23 01:02:59,unknown_subcategory,,0,فرن كهربايي 60 لتر,False
28,خلاط كهربايي متعدد الوظايف,المنزل والمطبخ,بوش,207.71,3.2,احصل علي خلاط كهربايي متعدد الوظايف الان واستمتع بجوده لا مثيل لها في منزلك.,7,2023-04-26 04:12:21,unknown_subcategory,,0,خلاط كهربايي متعدد الوظايف,False
29,مجموعه سكاكين مطبخ,المنزل والمطبخ,اريتي,137.26,3.8,احصل علي مجموعه سكاكين مطبخ الان واستمتع بجوده لا مثيل لها في منزلك.,2,2023-01-02 11:49:27,unknown_subcategory,,0,مجموعه سكاكين مطبخ,False
30,مكواه بخاريه احترافيه,المنزل والمطبخ,تيفال,583.67,4.5,مكواه بخاريه احترافيه مناسب للاستخدام المنزلي اليومي بضمان سنتين.,4,2023-01-24 07:10:03,unknown_subcategory,,0,مكواه بخاريه احترافيه,False
31,كريم مرطب SPF 50,الجمال والعنايه,دوف,118.65,3.8,استخدم كريم مرطب SPF 50 يوميا للحصول علي نتايج ملموسه خلال اسبوعين.,3,2023-04-08 03:23:29,unknown_subcategory,,0,كريم مرطب SPF 50,False
32,سيروم فيتامين سي,الجمال والعنايه,بيوتانيا,182.43,4.7,سيروم فيتامين سي مكون من مكونات طبيعيه خاليه من المواد الضاره لبشره اكثر اشراقا.,5,2023-01-04 15:20:30,unknown_subcategory,,0,سيروم فيتامين سي,False
33,مجموعه عنايه بالشعر,الجمال والعنايه,نيفيا,404.5,4.2,استخدم مجموعه عنايه بالشعر يوميا للحصول علي نتايج ملموسه خلال اسبوعين.,5,2023-05-18 18:30:17,unknown_subcategory,,0,مجموعه عنايه بالشعر,False
34,طقم مكياج احترافي,الجمال والعنايه,بالمر,269.1,3.0,طقم مكياج احترافي يغذي البشره ويرطبها طوال اليوم بعطر منعش.,3,2023-06-05 14:25:54,unknown_subcategory,,0,طقم مكياج احترافي,False
35,عطر نسايي زهري,الجمال والعنايه,افينو,790.82,4.8,عطر نسايي زهري مكون من مكونات طبيعيه خاليه من المواد الضاره لبشره اكثر اشراقا.,5,2023-06-13 23:34:56,unknown_subcategory,,0,عطر نسايي زهري,False
36,عطر رجالي عودي,الجمال والعنايه,دوف,703.99,4.0,عطر رجالي عودي يغذي البشره ويرطبها طوال اليوم بعطر منعش.,8,2023-03-02 05:59:03,unknown_subcategory,,0,عطر رجالي عودي,False
37,غسول وجه للبشره الحساسه,الجمال والعنايه,ماك,113.29,3.3,استخدم غسول وجه للبشره الحساسه يوميا للحصول علي نتايج ملموسه خلال اسبوعين.,7,2023-01-23 03:24:09,unknown_subcategory,,0,غسول وجه للبشره الحساسه,False
38,زيت ارغان طبيعي,الجمال والعنايه,ماك,325.54,3.7,استخدم زيت ارغان طبيعي يوميا للحصول علي نتايج ملموسه خلال اسبوعين.,8,2023-05-06 07:58:56,unknown_subcategory,,0,زيت ارغان طبيعي,False
39,قناع وجه كولاجين,الجمال والعنايه,ماك,51.31,3.5,قناع وجه كولاجين مكون من مكونات طبيعيه خاليه من المواد الضاره لبشره اكثر اشراقا.,6,2023-01-30 16:25:29,unknown_subcategory,,0,قناع وجه كولاجين,False
40,مزيل عرق رول اون,الجمال والعنايه,نيفيا,36.51,4.5,مزيل عرق رول اون يغذي البشره ويرطبها طوال اليوم بعطر منعش.,5,2023-05-27 11:58:20,unknown_subcategory,,0,مزيل عرق رول اون,False
