product_id,image_url,product_name,category,brand,price,views,carts,purchases,purchase_conversion_rate,diagnostic_status_label,diagnostic_status_sub_label,product_class,confidence_level,diagnostic_reason_short
120,,روايه عربيه بيست سيلر - اصدار خاص,الكتب والتعليم,الوراق,37.31,14,2,1,2.9285714285714284,متوسط,يحتاج متابعة,Moderate,High,أداء متوسط
123,,عداد خطوات ذكي - اصدار خاص,الرياضه واللياقه,اندر ارمور,140.92,14,2,1,2.0,متوسط,يحتاج متابعة,Moderate,High,أداء متوسط
182,,سيروم فيتامين سي - اصدار خاص,الجمال والعنايه,لوريال,190.33,13,2,1,2.1538461538461537,متوسط,يحتاج متابعة,Moderate,High,أداء متوسط
192,,مجموعه كتب الطفل التعليميه - اصدار خاص,الكتب والتعليم,نشر المعرفه,105.53,11,2,1,2.3636363636363638,متوسط,ظهور أقل من المطلوب,Moderate,High,مشاهدات أقل من المطلوب
79,,سيروم فيتامين سي - اصدار خاص,الجمال والعنايه,دوف,421.1,1,0,0,27.0,متوسط,ظهور أقل من المطلوب,Moderate,High,مشاهدات أقل من المطلوب
164,,حقيبه يد جلديه - اصدار خاص,الازياء والملابس,مانجو,297.97,58,23,0,0.6923076923076923,متوسط,انسحاب مرتفع بعد الإضافة للسلة,Moderate,High,انسحاب مرتفع بعد الإضافة للسلة
18,,جاكيت شتوي دافي,الازياء والملابس,نايكي,685.51,48,18,1,0.7446808510638298,متوسط,تحويل أقل من المتوقع,Moderate,High,تحويل أقل من المتوقع
183,,كريم مرطب SPF 50 - اصدار خاص,الجمال والعنايه,بالمر,171.04,60,20,0,0.4074074074074074,متوسط,انسحاب مرتفع بعد الإضافة للسلة,Moderate,High,انسحاب مرتفع بعد الإضافة للسلة
193,,مجموعه كتب الطفل التعليميه - اصدار خاص,الكتب والتعليم,دار الفكر,256.05,61,17,0,0.6071428571428571,متوسط,انسحاب مرتفع بعد الإضافة للسلة,Moderate,High,انسحاب مرتفع بعد الإضافة للسلة
30,,مكواه بخاريه احترافيه,المنزل والمطبخ,تيفال,583.67,9,3,1,3.6666666666666665,متوسط,ظهور أقل من المطلوب,Moderate,High,مشاهدات أقل من المطلوب
