product_id,name,display_name,category,subcategory,brand,price,image_url,has_image,view,cart,purchase,purchase_signal,views,cart_adds,total_orders,carts,purchases,unique_viewers,unique_cart_users,event_unique_buyers,order_unique_buyers,unique_buyers_raw,unique_cart_users_bounded,unique_buyers,sales_without_view_signal_flag,revenue,ordered_quantity,purchase_orders,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate,cart_abandon_rate,cart_rate,purchase_conversion_rate,cart_abandonment_rate,product_class,z_score,z_composite_score,priority_rank,rank_within_class_best,action_priority,conversion_rate,category_avg_conversion,category_median_conversion,category_avg_views,relative_conversion_vs_category,insufficient_views_flag,insufficient_purchases_flag,insufficient_cart_data_flag,confidence_level,insufficient_data_flag,low_visibility_flag,high_abandonment_flag,low_conversion_flag,low_engagement_flag,diagnostic_status_label,diagnostic_status_sub_label,diagnostic_reason_short,diagnostic_reason,rating,review_count,product_age_days,description_length,description_length_words,description_length_chars,number_of_images,total_sales_value,unique_order_count,avg_review_rating,total_views,total_cart_adds,total_event_purchases,analysis_start_date,analysis_end_date
120,روايه عربيه بيست سيلر - اصدار خاص,روايه عربيه بيست سيلر - اصدار خاص,الكتب والتعليم,unknown_subcategory,الوراق,37.31,,False,14,2,1,41,14,2,1,2,14,14,2.0,1.0,39,39.0,2.0,14.0,False,1678.95,45,41,0.14285714285714285,0.5,0.07142857142857142,0.5,0.14285714285714285,2.9285714285714284,0.5,Moderate,0.8988124548851536,0.8988124548851536,1.0,1.0,1.0,0.07142857142857142,3.3634956997365264,2.0833333333333335,23.17142857142857,0.8706927821554322,False,False,False,High,False,False,False,False,True,متوسط,يحتاج متابعة,أداء متوسط,أداء المنتج متوسط ويمكن تحسينه من خلال تدخلات مركزة.,4.2,0,1092.0,81,15,81,4,1678.95,41,4.2,14,2,1,2024-01-01,2024-12-30
123,عداد خطوات ذكي - اصدار خاص,عداد خطوات ذكي - اصدار خاص,الرياضه واللياقه,unknown_subcategory,اندر ارمور,140.92,,False,14,2,1,28,14,2,1,2,14,14,2.0,1.0,28,28.0,2.0,14.0,False,4650.36,33,28,0.14285714285714285,0.5,0.07142857142857142,0.5,0.14285714285714285,2.0,0.5,Moderate,0.8606937423276529,0.8606937423276529,2.0,2.0,2.0,0.07142857142857142,8.50970943604373,2.1176470588235294,17.666666666666668,0.23502565099682474,False,False,False,High,False,False,False,False,True,متوسط,يحتاج متابعة,أداء متوسط,أداء المنتج متوسط ويمكن تحسينه من خلال تدخلات مركزة.,4.2,0,1127.0,77,14,77,2,4650.36,28,4.2,14,2,1,2024-01-01,2024-12-30
182,سيروم فيتامين سي - اصدار خاص,سيروم فيتامين سي - اصدار خاص,الجمال والعنايه,unknown_subcategory,لوريال,190.33,,False,13,2,1,28,13,2,1,2,13,13,2.0,1.0,28,28.0,2.0,13.0,False,5900.2300000000005,31,28,0.15384615384615385,0.5,0.07692307692307693,0.5,0.15384615384615385,2.1538461538461537,0.5,Moderate,0.8543577393922228,0.8543577393922228,3.0,3.0,3.0,0.07692307692307693,6.768778422340422,2.8,19.580645161290324,0.3182030817757843,False,False,False,High,False,False,False,False,True,متوسط,يحتاج متابعة,أداء متوسط,أداء المنتج متوسط ويمكن تحسينه من خلال تدخلات مركزة.,3.9,0,1098.0,79,14,79,5,5900.2300000000005,28,3.9,13,2,1,2024-01-01,2024-12-30
192,مجموعه كتب الطفل التعليميه - اصدار خاص,مجموعه كتب الطفل التعليميه - اصدار خاص,الكتب والتعليم,unknown_subcategory,نشر المعرفه,105.53,,False,11,2,1,26,11,2,1,2,11,11,2.0,1.0,26,26.0,2.0,11.0,False,3060.37,29,26,0.18181818181818182,0.5,0.09090909090909091,0.5,0.18181818181818182,2.3636363636363638,0.5,Moderate,0.834284422801543,0.834284422801543,4.0,4.0,4.0,0.09090909090909091,3.3634956997365264,2.0833333333333335,23.17142857142857,0.7027320902540518,False,False,False,High,False,True,False,False,True,متوسط,ظهور أقل من المطلوب,مشاهدات أقل من المطلوب,المنتج لا يحصل على عدد كافٍ من الزيارات خلال الفترة المختارة.,5.0,0,1173.0,86,15,86,5,3060.37,26,5.0,11,2,1,2024-01-01,2024-12-30
79,سيروم فيتامين سي - اصدار خاص,سيروم فيتامين سي - اصدار خاص,الجمال والعنايه,unknown_subcategory,دوف,421.1,,False,1,0,0,27,1,0,0,0,1,1,0.0,0.0,26,26.0,0.0,1.0,False,13054.1,31,27,0.0,,0.0,0.0,0.0,27.0,,Moderate,0.6910247609128739,0.6910247609128739,5.0,5.0,5.0,0.0,6.768778422340422,2.8,19.580645161290324,3.9889029179750106,True,False,True,High,False,True,False,False,True,متوسط,ظهور أقل من المطلوب,مشاهدات أقل من المطلوب,المنتج لا يحصل على عدد كافٍ من الزيارات خلال الفترة المختارة.,4.6,0,1188.0,79,14,79,3,13054.1,27,4.6,1,0,0,2024-01-01,2024-12-30
164,حقيبه يد جلديه - اصدار خاص,حقيبه يد جلديه - اصدار خاص,الازياء والملابس,unknown_subcategory,مانجو,297.97,,False,58,23,0,36,58,23,0,23,36,52,23.0,0.0,34,34.0,23.0,34.0,False,11024.890000000001,37,36,0.39655172413793105,0.0,0.0,1.0,0.39655172413793105,0.6923076923076923,1.0,Moderate,0.6599305329812205,0.6599305329812205,6.0,6.0,6.0,0.0,2.2844532741681975,2.3080357142857144,18.59375,0.3030518068091244,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,3.9,0,1126.0,76,14,76,5,11024.890000000001,36,3.9,58,23,0,2024-01-01,2024-12-30
18,جاكيت شتوي دافي,جاكيت شتوي دافي,الازياء والملابس,unknown_subcategory,نايكي,685.51,,False,48,18,1,35,48,18,1,18,35,47,18.0,1.0,35,35.0,18.0,35.0,False,30162.44,44,35,0.375,0.05555555555555555,0.020833333333333332,0.9444444444444444,0.375,0.7446808510638298,0.9444444444444444,Moderate,0.5584871046705211,0.5584871046705211,7.0,7.0,7.0,0.020833333333333332,2.2844532741681975,2.3080357142857144,18.59375,0.32597771181596125,False,False,False,High,False,False,False,True,False,متوسط,تحويل أقل من المتوقع,تحويل أقل من المتوقع,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,3.8,0,1168.0,66,11,66,8,30162.44,35,3.8,48,18,1,2024-01-01,2024-12-30
183,كريم مرطب SPF 50 - اصدار خاص,كريم مرطب SPF 50 - اصدار خاص,الجمال والعنايه,unknown_subcategory,بالمر,171.04,,False,60,20,0,22,60,20,0,20,22,54,19.0,0.0,21,21.0,19.0,21.0,False,4104.96,24,22,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.4074074074074074,1.0,Moderate,0.5544091903948147,0.5544091903948147,8.0,8.0,8.0,0.0,6.768778422340422,2.8,19.580645161290324,0.06018920726711264,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,4.4,0,1075.0,79,15,79,5,4104.96,22,4.4,60,20,0,2024-01-01,2024-12-30
193,مجموعه كتب الطفل التعليميه - اصدار خاص,مجموعه كتب الطفل التعليميه - اصدار خاص,الكتب والتعليم,unknown_subcategory,دار الفكر,256.05,,False,61,17,0,34,61,17,0,17,34,56,17.0,0.0,33,33.0,17.0,33.0,False,10498.050000000001,41,34,0.2786885245901639,0.0,0.0,1.0,0.2786885245901639,0.6071428571428571,1.0,Moderate,0.4997988393970052,0.4997988393970052,9.0,9.0,9.0,0.0,3.3634956997365264,2.0833333333333335,23.17142857142857,0.1805094792273457,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,3.4,0,1127.0,87,14,87,5,10498.050000000001,34,3.4,61,17,0,2024-01-01,2024-12-30
30,مكواه بخاريه احترافيه,مكواه بخاريه احترافيه,المنزل والمطبخ,unknown_subcategory,تيفال,583.67,,False,9,3,1,33,9,3,1,3,9,9,3.0,1.0,30,30.0,3.0,9.0,False,19844.78,34,33,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.6666666666666667,0.3333333333333333,3.6666666666666665,0.6666666666666667,Moderate,0.4696874736046546,0.4696874736046546,10.0,10.0,10.0,0.1111111111111111,4.391284662352632,1.9285714285714286,21.805555555555557,0.8349872414561822,True,False,False,High,False,True,False,False,True,متوسط,ظهور أقل من المطلوب,مشاهدات أقل من المطلوب,المنتج لا يحصل على عدد كافٍ من الزيارات خلال الفترة المختارة.,4.5,0,1227.0,65,9,65,4,19844.78,33,4.5,9,3,1,2024-01-01,2024-12-30
