product_id,name,display_name,category,subcategory,brand,price,description_length,description_length_words,description_length_chars,image_count,number_of_images,image_url,has_image,category_code,rating,review_count,product_age_days,created_at,name_diag,display_name_diag,category_diag,subcategory_diag,brand_diag,price_diag,image_url_diag,has_image_diag,view,cart,purchase,purchase_signal,views,cart_adds,total_orders,carts,purchases,unique_viewers,unique_cart_users,event_unique_buyers,order_unique_buyers,unique_buyers_raw,unique_cart_users_bounded,unique_buyers,sales_without_view_signal_flag,revenue,ordered_quantity,purchase_orders,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate,cart_abandon_rate,cart_rate,purchase_conversion_rate,cart_abandonment_rate,product_class,z_score,z_composite_score,priority_rank,rank_within_class_best,action_priority,conversion_rate,category_avg_conversion,category_median_conversion,category_avg_views,relative_conversion_vs_category,insufficient_views_flag,insufficient_purchases_flag,insufficient_cart_data_flag,confidence_level,insufficient_data_flag,low_visibility_flag,high_abandonment_flag,low_conversion_flag,low_engagement_flag,diagnostic_status_label,diagnostic_status_sub_label,diagnostic_reason_short,diagnostic_reason,rating_diag,review_count_diag,product_age_days_diag,description_length_diag,description_length_words_diag,description_length_chars_diag,number_of_images_diag,total_sales_value,unique_order_count,avg_review_rating,total_views,total_cart_adds,total_event_purchases,analysis_start_date,analysis_end_date,description_content,desc_quality_score,brand_strength,similarity_cluster,cluster_size,cluster_avg_price,cluster_median_price,cluster_avg_rating,cluster_avg_images,cluster_median_images,cluster_avg_desc_words,cluster_median_desc_words,cluster_avg_review_count,cluster_median_review_count,cluster_avg_product_age,cluster_median_product_age,cluster_avg_brand_strength,cluster_dominant_category,price_high_flag,weak_brand_flag,category_mismatch_flag,low_rating_flag,low_visual_support_flag,short_description_flag,low_review_trust_flag,too_new_product_flag,weakness_reason_codes,weakness_reason_text_ar,context_priority_score,peer_product_ids,peer_names,peer_avg_price,peer_avg_rating,peer_avg_conversion,top_similarity_score,top_peer_product_id,top_peer_name,price_gap_flag,rating_gap_flag,review_gap_flag,image_gap_flag,content_gap_flag,new_product_flag,category_context_flag,contextual_risk_score,contextual_weakness_reason,context_primary_gap,context_secondary_gap
1,هاتف ذكي برو ماكس,هاتف ذكي برو ماكس,الالكترونيات,unknown_subcategory,ابل,5429.43,70,12,70,4,4,,False,الالكترونيات,3.7,0,1239.0,2023-01-12 18:11:01,هاتف ذكي برو ماكس,هاتف ذكي برو ماكس,الالكترونيات,unknown_subcategory,ابل,5429.43,,False,9,4,0,371,9,4,0,4,9,9,4.0,0.0,254,254.0,4.0,9.0,False,2188060.29,403,371,0.4444444444444444,0.0,0.0,1.0,0.4444444444444444,41.22222222222222,1.0,Strong,1.7793339426272898,1.7793339426272898,2.0,2.0,2.0,0.0,7.961233440029987,1.9,20.12121212121212,5.177868797936787,True,False,False,High,False,True,False,False,False,قوي,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يحقق أداء جيدًا مقارنة ببقية المنتجات.,3.7,0,1239.0,70,12,70,4,2188060.29,371,3.7,9,4,0,2024-01-01,2024-12-30,هاتف ذكي برو ماكس,0.0,0.5262419688323299,2,16,1155.68625,462.49,3.76875,4.4375,4.0,12.0625,12.0,0.0,0.0,1164.1875,1152.0,0.6120550016558437,الالكترونيات,1,0,0,0,0,0,1,0,"['price_high', 'low_review_trust']",السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,2.5999999999999996,2|4|9|3|10,لابتوب الترا سليم|ساعه ذكيه سبورت|راوتر واي فاي 6|سماعات لاسلكيه|شاحن لاسلكي سريع,1809.154,4.0600000000000005,32.894289044289046,0.9277572046005328,2,لابتوب الترا سليم,True,False,True,False,False,False,True,2.6,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,pricing,trust
2,لابتوب الترا سليم,لابتوب الترا سليم,الالكترونيات,unknown_subcategory,شاومي,6856.93,75,13,75,2,2,,False,الالكترونيات,4.9,0,1122.0,2023-05-09 16:43:34,لابتوب الترا سليم,لابتوب الترا سليم,الالكترونيات,unknown_subcategory,شاومي,6856.93,,False,12,2,0,385,12,2,0,2,12,12,2.0,0.0,267,267.0,2.0,12.0,False,2969050.69,433,385,0.1666666666666666,0.0,0.0,1.0,0.1666666666666666,32.083333333333336,1.0,Strong,1.926085342831258,1.926085342831258,1.0,1.0,1.0,0.0,7.961233440029987,1.9,20.12121212121212,4.029945054997972,False,False,False,High,False,False,False,False,True,قوي,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يحقق أداء جيدًا مقارنة ببقية المنتجات.,4.9,0,1122.0,75,13,75,2,2969050.69,385,4.9,12,2,0,2024-01-01,2024-12-30,لابتوب الترا سليم,0.0,0.6412657539712695,2,16,1155.68625,462.49,3.76875,4.4375,4.0,12.0625,12.0,0.0,0.0,1164.1875,1152.0,0.6120550016558437,الالكترونيات,1,0,0,0,1,0,1,0,"['price_high', 'low_visual_support', 'low_review_trust']",السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,3.7,1|4|9|10|3,هاتف ذكي برو ماكس|ساعه ذكيه سبورت|راوتر واي فاي 6|شاحن لاسلكي سريع|سماعات لاسلكيه,1523.6540000000002,3.8200000000000003,34.72206682206682,0.9277572046005328,1,هاتف ذكي برو ماكس,True,False,True,True,False,False,True,3.7,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,pricing,trust
3,سماعات لاسلكيه,سماعات لاسلكيه,الالكترونيات,unknown_subcategory,سامسونج,182.88,75,11,75,8,8,,False,الالكترونيات,3.7,0,1141.0,2023-04-20 15:07:26,سماعات لاسلكيه,سماعات لاسلكيه,الالكترونيات,unknown_subcategory,سامسونج,182.88,,False,12,3,0,498,12,3,0,3,12,11,3.0,0.0,311,311.0,3.0,11.0,False,100584.0,550,498,0.25,0.0,0.0,1.0,0.25,45.27272727272727,1.0,Strong,1.2442129507867867,1.2442129507867867,7.0,7.0,7.0,0.0,7.961233440029987,1.9,20.12121212121212,5.686647378670101,False,False,False,High,False,False,False,False,True,قوي,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يحقق أداء جيدًا مقارنة ببقية المنتجات.,3.7,0,1141.0,75,11,75,8,100584.0,498,3.7,12,3,0,2024-01-01,2024-12-30,سماعات لاسلكيه,0.030303030303030304,0.6503581790480685,2,16,1155.68625,462.49,3.76875,4.4375,4.0,12.0625,12.0,0.0,0.0,1164.1875,1152.0,0.6120550016558437,الالكترونيات,0,0,0,0,0,0,1,0,['low_review_trust'],عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,1.4,10|4|9|41|42,شاحن لاسلكي سريع|ساعه ذكيه سبورت|راوتر واي فاي 6|حذاء جري احترافي|لباس رياضي ضاغط,575.382,3.9200000000000004,33.48498168498168,0.9571621440890034,10,شاحن لاسلكي سريع,False,False,True,False,False,False,True,1.4,عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,trust,none
4,ساعه ذكيه سبورت,ساعه ذكيه سبورت,الالكترونيات,unknown_subcategory,شاومي,1045.02,76,12,76,4,4,,False,الالكترونيات,4.6,0,1100.0,2023-05-31 08:49:08,ساعه ذكيه سبورت,ساعه ذكيه سبورت,الالكترونيات,unknown_subcategory,شاومي,1045.02,,False,8,3,0,271,8,3,0,3,8,8,3.0,0.0,199,199.0,3.0,8.0,False,308280.9,295,271,0.375,0.0,0.0,1.0,0.375,33.875,1.0,Strong,0.6852821362427259,0.6852821362427259,14.0,14.0,14.0,0.0,7.961233440029987,1.9,20.12121212121212,4.254993934692664,True,False,False,High,False,True,False,False,True,قوي,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يحقق أداء جيدًا مقارنة ببقية المنتجات.,4.6,0,1100.0,76,12,76,4,308280.9,271,4.6,8,3,0,2024-01-01,2024-12-30,ساعه ذكيه سبورت,0.0,0.6412657539712695,2,16,1155.68625,462.49,3.76875,4.4375,4.0,12.0625,12.0,0.0,0.0,1164.1875,1152.0,0.6120550016558437,الالكترونيات,1,0,0,0,0,0,1,0,"['price_high', 'low_review_trust']",السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,2.5999999999999996,10|3|9|41|48,شاحن لاسلكي سريع|سماعات لاسلكيه|راوتر واي فاي 6|حذاء جري احترافي|حقيبه رياضيه جيم,445.996,3.9200000000000004,36.37441724941725,0.9486941991438075,10,شاحن لاسلكي سريع,True,False,True,False,False,False,True,2.6,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,pricing,trust
5,تابلت 10 انش,تابلت 10 انش,الالكترونيات,unknown_subcategory,سامسونج,1043.64,73,12,73,6,6,,False,الالكترونيات,5.0,0,1202.0,2023-02-18 16:07:59,تابلت 10 انش,تابلت 10 انش,الالكترونيات,unknown_subcategory,سامسونج,1043.64,,False,17,6,0,27,17,6,0,6,17,16,6.0,0.0,27,27.0,6.0,16.0,False,30265.560000000005,29,27,0.3529411764705882,0.0,0.0,1.0,0.3529411764705882,1.6875,1.0,Moderate,-0.2390945622328674,-0.2390945622328674,73.0,73.0,73.0,0.0,7.961233440029987,1.9,20.12121212121212,0.21196464250314,False,False,False,High,False,False,True,False,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,هناك اهتمام واضح بالمنتج لكن جزءًا من العملاء لا يكمل الشراء بعد الإضافة للسلة.,5.0,0,1202.0,73,12,73,6,30265.560000000005,27,5.0,17,6,0,2024-01-01,2024-12-30,تابلت 10 انش,0.0,0.6503581790480685,0,27,1979.0025925925927,1613.84,3.7074074074074073,3.925925925925926,4.0,14.37037037037037,15.0,0.0,0.0,1156.7037037037037,1138.0,0.38300357479399344,الالكترونيات,0,0,0,0,0,0,1,0,['low_review_trust'],عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,2.8,8|174|126|141|97,مكبر صوت بلوتوث|تابلت 10 انش - اصدار خاص|شاحن لاسلكي سريع - اصدار خاص|ساعه ذكيه سبورت - اصدار خاص|هاتف ذكي برو ماكس - اصدار خاص,773.522,4.2,1.6855710955710959,0.9033046777908831,8,مكبر صوت بلوتوث,False,False,True,False,False,False,True,2.8,عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,trust,none
6,شاشه 4K 27 انش,شاشه 4K 27 انش,الالكترونيات,unknown_subcategory,ابل,2618.75,75,13,75,4,4,,False,الالكترونيات,3.1,0,1097.0,2023-06-03 09:35:43,شاشه 4K 27 انش,شاشه 4K 27 انش,الالكترونيات,unknown_subcategory,ابل,2618.75,,False,24,8,1,294,24,8,1,8,24,24,8.0,1.0,224,224.0,8.0,24.0,False,838000.0,320,294,0.3333333333333333,0.125,0.0416666666666666,0.875,0.3333333333333333,12.25,0.875,Strong,1.1845195157373944,1.1845195157373944,8.0,8.0,8.0,0.0416666666666666,7.961233440029987,1.9,20.12121212121212,1.538706293726498,False,False,False,High,False,False,False,False,False,قوي,أداء مستقر,أداء متماسك,المنتج يحقق أداء جيدًا مقارنة ببقية المنتجات.,3.1,0,1097.0,75,13,75,4,838000.0,294,3.1,24,8,1,2024-01-01,2024-12-30,شاشه 4K 27 انش,0.0,0.5262419688323299,0,27,1979.0025925925927,1613.84,3.7074074074074073,3.925925925925926,4.0,14.37037037037037,15.0,0.0,0.0,1156.7037037037037,1138.0,0.38300357479399344,الالكترونيات,1,0,0,1,0,0,1,0,"['price_high', 'low_rating', 'low_review_trust']",السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | تقييم المنتج أقل من متوسط المنتجات المشابهة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,4.1,97|67|68|177|124,هاتف ذكي برو ماكس - اصدار خاص|لابتوب الترا سليم - اصدار خاص|تابلت 10 انش - اصدار خاص|لابتوب الترا سليم - اصدار خاص|كاميرا ميرورليس - اصدار خاص,3023.1580000000004,3.3600000000000003,1.686275017253278,0.8481262974931039,97,هاتف ذكي برو ماكس - اصدار خاص,True,True,True,False,False,False,True,4.1,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | تقييم المنتج أقل من متوسط المنتجات المشابهة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,pricing,trust
7,كاميرا ميرورليس,كاميرا ميرورليس,الالكترونيات,unknown_subcategory,ال جي,2063.12,76,11,76,7,7,,False,الالكترونيات,3.5,0,1169.0,2023-03-23 17:49:06,كاميرا ميرورليس,كاميرا ميرورليس,الالكترونيات,unknown_subcategory,ال جي,2063.12,,False,23,3,0,33,23,3,0,3,23,21,3.0,0.0,32,32.0,3.0,21.0,False,78398.56,38,33,0.1304347826086956,0.0,0.0,1.0,0.1304347826086956,1.5714285714285714,1.0,Moderate,-0.2459477654956256,-0.2459477654956256,74.0,74.0,74.0,0.0,7.961233440029987,1.9,20.12121212121212,0.197385063918268,False,False,False,High,False,False,True,False,True,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,هناك اهتمام واضح بالمنتج لكن جزءًا من العملاء لا يكمل الشراء بعد الإضافة للسلة.,3.5,0,1169.0,76,11,76,7,78398.56,33,3.5,23,3,0,2024-01-01,2024-12-30,كاميرا ميرورليس,0.030303030303030304,0.2216371566152292,0,27,1979.0025925925927,1613.84,3.7074074074074073,3.925925925925926,4.0,14.37037037037037,15.0,0.0,0.0,1156.7037037037037,1138.0,0.38300357479399344,الالكترونيات,1,1,0,0,0,0,1,0,"['price_high', 'weak_brand', 'low_review_trust']",السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,5.0,177|102|107|194|69,لابتوب الترا سليم - اصدار خاص|تابلت 10 انش - اصدار خاص|كاميرا ميرورليس - اصدار خاص|ساعه ذكيه سبورت - اصدار خاص|لابتوب الترا سليم - اصدار خاص,3270.6459999999997,3.18,2.0751608187134503,0.854697716387129,177,لابتوب الترا سليم - اصدار خاص,True,False,True,False,False,False,True,5.0,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,pricing,trust
8,مكبر صوت بلوتوث,مكبر صوت بلوتوث,الالكترونيات,unknown_subcategory,ابل,338.12,68,11,68,6,6,,False,الالكترونيات,4.6,0,1229.0,2023-01-22 04:13:42,مكبر صوت بلوتوث,مكبر صوت بلوتوث,الالكترونيات,unknown_subcategory,ابل,338.12,,False,13,4,0,33,13,4,0,4,13,13,4.0,0.0,31,31.0,4.0,13.0,False,11834.2,35,33,0.3076923076923077,0.0,0.0,1.0,0.3076923076923077,2.5384615384615383,1.0,Moderate,-0.3200245125926572,-0.3200245125926572,102.0,102.0,102.0,0.0,7.961233440029987,1.9,20.12121212121212,0.318852795560279,False,False,False,High,False,False,True,False,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,هناك اهتمام واضح بالمنتج لكن جزءًا من العملاء لا يكمل الشراء بعد الإضافة للسلة.,4.6,0,1229.0,68,11,68,6,11834.2,33,4.6,13,4,0,2024-01-01,2024-12-30,مكبر صوت بلوتوث,0.06060606060606061,0.5262419688323299,0,27,1979.0025925925927,1613.84,3.7074074074074073,3.925925925925926,4.0,14.37037037037037,15.0,0.0,0.0,1156.7037037037037,1138.0,0.38300357479399344,الالكترونيات,0,0,0,0,0,0,1,0,['low_review_trust'],عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,2.8,5|141|126|115|174,تابلت 10 انش|ساعه ذكيه سبورت - اصدار خاص|شاحن لاسلكي سريع - اصدار خاص|شاحن لاسلكي سريع - اصدار خاص|تابلت 10 انش - اصدار خاص,547.2860000000001,4.18,1.4820454545454544,0.9033046777908831,5,تابلت 10 انش,False,False,True,False,False,False,True,2.8,عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,trust,none
9,راوتر واي فاي 6,راوتر واي فاي 6,الالكترونيات,unknown_subcategory,شاومي,864.52,68,12,68,6,6,,False,الالكترونيات,3.1,0,1192.0,2023-02-28 13:41:57,راوتر واي فاي 6,راوتر واي فاي 6,الالكترونيات,unknown_subcategory,شاومي,864.52,,False,13,5,0,268,13,5,0,5,13,13,5.0,0.0,212,212.0,5.0,13.0,False,247252.72,286,268,0.3846153846153846,0.0,0.0,1.0,0.3846153846153846,20.615384615384617,1.0,Strong,0.5368023310789325,0.5368023310789325,19.0,19.0,19.0,0.0,7.961233440029987,1.9,20.12121212121212,2.5894711881865087,False,False,False,High,False,False,False,False,False,قوي,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يحقق أداء جيدًا مقارنة ببقية المنتجات.,3.1,0,1192.0,68,12,68,6,247252.72,268,3.1,13,5,0,2024-01-01,2024-12-30,راوتر واي فاي 6,0.030303030303030304,0.6412657539712695,2,16,1155.68625,462.49,3.76875,4.4375,4.0,12.0625,12.0,0.0,0.0,1164.1875,1152.0,0.6120550016558437,الالكترونيات,1,0,0,1,0,0,1,0,"['price_high', 'low_rating', 'low_review_trust']",السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | تقييم المنتج أقل من متوسط المنتجات المشابهة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,4.1,10|3|4|42|50,شاحن لاسلكي سريع|سماعات لاسلكيه|ساعه ذكيه سبورت|لباس رياضي ضاغط|عداد خطوات ذكي,318.08599999999996,3.72,37.383116883116884,0.8891496051005796,10,شاحن لاسلكي سريع,True,True,True,False,False,False,True,4.1,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | تقييم المنتج أقل من متوسط المنتجات المشابهة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,pricing,trust
10,شاحن لاسلكي سريع,شاحن لاسلكي سريع,الالكترونيات,unknown_subcategory,سامسونج,96.42,74,13,74,5,5,,False,الالكترونيات,4.0,0,1117.0,2023-05-14 05:26:45,شاحن لاسلكي سريع,شاحن لاسلكي سريع,الالكترونيات,unknown_subcategory,سامسونج,96.42,,False,8,0,0,261,8,0,0,0,8,8,0.0,0.0,196,196.0,0.0,8.0,False,27865.38,289,261,0.0,,0.0,0.0,0.0,32.625,,Strong,1.2805966119764192,1.2805966119764192,5.0,5.0,5.0,0.0,7.961233440029987,1.9,20.12121212121212,4.097983088394041,True,False,True,High,False,True,False,False,True,قوي,ظهور أقل من المطلوب,مشاهدات أقل من المطلوب,المنتج يحقق أداء جيدًا مقارنة ببقية المنتجات.,4.0,0,1117.0,74,13,74,5,27865.38,261,4.0,8,0,0,2024-01-01,2024-12-30,شاحن لاسلكي سريع,0.06060606060606061,0.6503581790480685,2,16,1155.68625,462.49,3.76875,4.4375,4.0,12.0625,12.0,0.0,0.0,1164.1875,1152.0,0.6120550016558437,الالكترونيات,0,0,0,0,0,0,1,0,['low_review_trust'],عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,1.4,3|4|9|41|48,سماعات لاسلكيه|ساعه ذكيه سبورت|راوتر واي فاي 6|حذاء جري احترافي|حقيبه رياضيه جيم,635.716,4.04,36.62441724941725,0.9571621440890034,3,سماعات لاسلكيه,False,False,True,False,False,False,True,1.4,عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,trust,none
