node_id,label,category,image_url
1,هاتف ذكي برو ماكس,الالكترونيات,
2,لابتوب الترا سليم,الالكترونيات,
3,سماعات لاسلكيه,الالكترونيات,
4,ساعه ذكيه سبورت,الالكترونيات,
6,شاشه 4K 27 انش,الالكترونيات,
8,مكبر صوت بلوتوث,الالكترونيات,
9,راوتر واي فاي 6,الالكترونيات,
10,شاحن لاسلكي سريع,الالكترونيات,
17,شال كشمير ناعم,الازياء والملابس,
19,تيشيرت بولو قطن,الازياء والملابس,
20,حذاء رسمي جلد,الازياء والملابس,
21,مكيف هواء انفيرتر 18000,المنزل والمطبخ,
24,مكنسه كهرباييه لاسلكيه,المنزل والمطبخ,
25,ماكينه قهوه اسبريسو,المنزل والمطبخ,
26,طقم اواني طهي غرانيت,المنزل والمطبخ,
28,خلاط كهربايي متعدد الوظايف,المنزل والمطبخ,
29,مجموعه سكاكين مطبخ,المنزل والمطبخ,
31,كريم مرطب SPF 50,الجمال والعنايه,
32,سيروم فيتامين سي,الجمال والعنايه,
33,مجموعه عنايه بالشعر,الجمال والعنايه,
34,طقم مكياج احترافي,الجمال والعنايه,
35,عطر نسايي زهري,الجمال والعنايه,
37,غسول وجه للبشره الحساسه,الجمال والعنايه,
38,زيت ارغان طبيعي,الجمال والعنايه,
39,قناع وجه كولاجين,الجمال والعنايه,
41,حذاء جري احترافي,الرياضه واللياقه,
42,لباس رياضي ضاغط,الرياضه واللياقه,
44,جهاز مشي كهربايي,الرياضه واللياقه,
45,كره قدم رسميه فيفا,الرياضه واللياقه,
46,حصيره يوغا مضاده للانزلاق,الرياضه واللياقه,
47,اوزان حديد طقم 20 كيلو,الرياضه واللياقه,
48,حقيبه رياضيه جيم,الرياضه واللياقه,
50,عداد خطوات ذكي,الرياضه واللياقه,
51,كتاب تعلم البرمجه بالعربيه,الكتب والتعليم,
53,كتاب رياده الاعمال والنجاح,الكتب والتعليم,
54,قاموس عربي انجليزي شامل,الكتب والتعليم,
56,دوره برمجه اكاديميه USB,الكتب والتعليم,
57,مجموعه كتب الطفل التعليميه,الكتب والتعليم,
60,اطلس العالم المصور,الكتب والتعليم,
70,فرن كهربايي 60 لتر - اصدار خاص,المنزل والمطبخ,
73,فستان سهره انيق - اصدار خاص,الازياء والملابس,
74,كتاب الطبخ العربي التقليدي - اصدار خاص,الكتب والتعليم,
76,حقيبه رياضيه جيم - اصدار خاص,الرياضه واللياقه,
77,دوره برمجه اكاديميه USB - اصدار خاص,الكتب والتعليم,
87,طقم مكياج احترافي - اصدار خاص,الجمال والعنايه,
91,فرن كهربايي 60 لتر - اصدار خاص,المنزل والمطبخ,
92,موسوعه التاريخ الاسلامي - اصدار خاص,الكتب والتعليم,
96,دراجه هواييه جبليه - اصدار خاص,الرياضه واللياقه,
98,اوزان حديد طقم 20 كيلو - اصدار خاص,الرياضه واللياقه,
103,بنطلون جينز سليم فيت - اصدار خاص,الازياء والملابس,
110,جهاز قياس ضغط الدم - اصدار خاص,الرياضه واللياقه,
121,حذاء رياضي مريح - اصدار خاص,الازياء والملابس,
123,عداد خطوات ذكي - اصدار خاص,الرياضه واللياقه,
134,ثلاجه نوفروست 350 لتر - اصدار خاص,المنزل والمطبخ,
137,راوتر واي فاي 6 - اصدار خاص,الالكترونيات,
138,جهاز مشي كهربايي - اصدار خاص,الرياضه واللياقه,
145,قاموس عربي انجليزي شامل - اصدار خاص,الكتب والتعليم,
163,دوره برمجه اكاديميه USB - اصدار خاص,الكتب والتعليم,
164,حقيبه يد جلديه - اصدار خاص,الازياء والملابس,
166,فستان سهره انيق - اصدار خاص,الازياء والملابس,
168,مجموعه سكاكين مطبخ - اصدار خاص,المنزل والمطبخ,
174,تابلت 10 انش - اصدار خاص,الالكترونيات,
178,مكيف هواء انفيرتر 18000 - اصدار خاص,المنزل والمطبخ,
180,شال كشمير ناعم - اصدار خاص,الازياء والملابس,
183,كريم مرطب SPF 50 - اصدار خاص,الجمال والعنايه,
189,مزيل عرق رول اون - اصدار خاص,الجمال والعنايه,
196,اطلس العالم المصور - اصدار خاص,الكتب والتعليم,
