product_id,product_name,bundle_partner_product_id,bundle_partner_name,bundle_partner_image_url,bundle_source,bundle_type,support,confidence,lift,bundle_score,bundle_reason,bundle_business_explanation,bundle_rank
1,هاتف ذكي برو ماكس,10,شاحن لاسلكي سريع,,fpgrowth,Substitute,0.05670831070070614,0.8862478777589133,10.09642538956782,87.18,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.,1
1,هاتف ذكي برو ماكس,4,ساعه ذكيه سبورت,,fpgrowth,Substitute,0.05681694731124389,0.8745819397993312,9.963523212689163,86.24000000000001,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.,2
1,هاتف ذكي برو ماكس,3,سماعات لاسلكيه,,fpgrowth,Substitute,0.057251493753394896,0.6522277227722773,5.4381849530061706,57.99999999999999,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.,3
1,هاتف ذكي برو ماكس,141,ساعه ذكيه سبورت - اصدار خاص,,category_fallback,Substitute,0.000978,0.0566,0.6448,0.9,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,4
1,هاتف ذكي برو ماكس,194,ساعه ذكيه سبورت - اصدار خاص,,category_fallback,Substitute,0.000978,0.0909,1.0357,0.9,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,5
10,شاحن لاسلكي سريع,1,هاتف ذكي برو ماكس,,fpgrowth,Substitute,0.05670831070070614,0.8862478777589133,10.09642538956782,87.18,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.,1
10,شاحن لاسلكي سريع,4,ساعه ذكيه سبورت,,fpgrowth,Substitute,0.0398696360673547,0.6230899830220713,9.591209521267837,74.37,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.,2
10,شاحن لاسلكي سريع,3,سماعات لاسلكيه,,fpgrowth,Substitute,0.03997827267789245,0.6247877758913413,5.2093944538766275,54.25,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.,3
10,شاحن لاسلكي سريع,115,شاحن لاسلكي سريع - اصدار خاص,,category_fallback,Substitute,0.000652,0.069,1.0778,0.6,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,4
10,شاحن لاسلكي سريع,174,تابلت 10 انش - اصدار خاص,,category_fallback,Substitute,0.000652,0.0811,1.2672,0.6,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,5
100,حقيبه يد جلديه - اصدار خاص,158,فستان سهره انيق - اصدار خاص,,category_fallback,Substitute,0.000543,0.0704,4.5974,0.5,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,1
100,حقيبه يد جلديه - اصدار خاص,73,فستان سهره انيق - اصدار خاص,,category_fallback,Substitute,0.000326,0.0423,4.3702,0.3,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,2
