product_id,name,display_name,category,subcategory,brand,price,image_url,has_image,view,cart,purchase,purchase_signal,views,cart_adds,total_orders,carts,purchases,unique_viewers,unique_cart_users,event_unique_buyers,order_unique_buyers,unique_buyers_raw,unique_cart_users_bounded,unique_buyers,sales_without_view_signal_flag,revenue,ordered_quantity,purchase_orders,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate,cart_abandon_rate,cart_rate,purchase_conversion_rate,cart_abandonment_rate,product_class,z_score,z_composite_score,priority_rank,rank_within_class_best,action_priority,conversion_rate,category_avg_conversion,category_median_conversion,category_avg_views,relative_conversion_vs_category,insufficient_views_flag,insufficient_purchases_flag,insufficient_cart_data_flag,confidence_level,insufficient_data_flag,low_visibility_flag,high_abandonment_flag,low_conversion_flag,low_engagement_flag,diagnostic_status_label,diagnostic_status_sub_label,diagnostic_reason_short,diagnostic_reason,rating,review_count,product_age_days,description_length,description_length_words,description_length_chars,number_of_images,total_sales_value,unique_order_count,avg_review_rating,total_views,total_cart_adds,total_event_purchases,analysis_start_date,analysis_end_date,peer_product_ids,peer_names,peer_avg_price,peer_avg_rating,peer_avg_conversion,top_similarity_score,top_peer_product_id,top_peer_name,price_gap_flag,rating_gap_flag,review_gap_flag,image_gap_flag,content_gap_flag,new_product_flag,category_context_flag,context_primary_gap,context_secondary_gap,contextual_risk_score,contextual_weakness_reason,similarity_cluster,bundle_partner_product_id,bundle_partner_name,bundle_partner_image_url,bundle_strategy,bundle_score,bundle_reason,bundle_business_explanation,has_bundle_opportunity,root_cause,root_cause_details,performance_status,performance_substatus,all_issues,issues_count,recommended_action_primary,recommended_action_primary_ar,recommended_action_secondary,recommended_action_secondary_ar,action_type,recommended_action,recommended_action_ar,evidence_line_1,evidence_line_2,evidence_line_3,priority_score,priority_tier,urgency_level
124,كاميرا ميرورليس - اصدار خاص,كاميرا ميرورليس - اصدار خاص,الالكترونيات,unknown_subcategory,ال جي,4869.43,,False,52,14,0,25,52,14,0,14,25,46,14.0,0.0,24,24.0,14.0,24.0,False,141213.47,29,25,0.2692307692307692,0.0,0.0,1.0,0.2692307692307692,0.5434782608695652,1.0,Moderate,0.3576780181379239,0.3576780181379239,18.0,18.0,18.0,0.0,7.961233440029987,1.9,20.12121212121212,0.068265585347227,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,2.8,0,1144.0,88,14,88,1,141213.47,25,2.8,52,14,0,2024-01-01,2024-12-30,108|69|177|107|147,كاميرا ميرورليس - اصدار خاص|لابتوب الترا سليم - اصدار خاص|لابتوب الترا سليم - اصدار خاص|كاميرا ميرورليس - اصدار خاص|هاتف ذكي برو ماكس - اصدار خاص,4608.482,3.3,2.4291321105794785,0.9747972668547374,108,كاميرا ميرورليس - اصدار خاص,True,True,True,True,False,False,True,pricing,trust,7.6,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | تقييم المنتج أقل من متوسط المنتجات المشابهة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,0,141,ساعه ذكيه سبورت - اصدار خاص,,Substitute,1.1,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",Moderate Performance,High Abandonment + High Price vs Peers + Weak Content,conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with ساعه ذكيه سبورت - اصدار خاص where relevant.,فعّل باقة او ربطا مع المنتج ساعه ذكيه سبورت - اصدار خاص عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 54.35% vs category avg 796.12%.,Price is above peer average (4869.43 vs 4608.48).,Rating trails peers (2.80 vs 3.30).,54.26,Medium,Medium
176,فرن كهربايي 60 لتر - اصدار خاص,فرن كهربايي 60 لتر - اصدار خاص,المنزل والمطبخ,unknown_subcategory,ديلونجي,1269.55,,False,55,11,0,19,55,11,0,11,19,51,11.0,0.0,19,19.0,11.0,19.0,False,25391.0,20,19,0.2,0.0,0.0,1.0,0.2,0.3725490196078431,1.0,Moderate,0.2346257613635479,0.2346257613635479,25.0,25.0,25.0,0.0,4.391284662352632,1.9285714285714288,21.80555555555556,0.0848382758698794,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,4.2,0,1106.0,85,16,85,5,25391.0,19,4.2,55,11,0,2024-01-01,2024-12-30,136|119|162|111|82,فرن كهربايي 60 لتر - اصدار خاص|ماكينه قهوه اسبريسو - اصدار خاص|ثلاجه نوفروست 350 لتر - اصدار خاص|مكواه بخاريه احترافيه - اصدار خاص|مجموعه سكاكين مطبخ - اصدار خاص,1168.864,3.6599999999999993,1.8459523809523808,0.9004642313223892,136,فرن كهربايي 60 لتر - اصدار خاص,True,False,True,False,False,False,True,pricing,trust,5.0,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,4,21,مكيف هواء انفيرتر 18000,,Substitute,1.1,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing): The product appears overpriced relative to its closest peer group.",Moderate Performance,High Abandonment + High Price vs Peers,conversion_friction|pricing|trust,3,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with مكيف هواء انفيرتر 18000 where relevant.,فعّل باقة او ربطا مع المنتج مكيف هواء انفيرتر 18000 عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 37.25% vs category avg 439.13%.,Price is above peer average (1269.55 vs 1168.86).,Cart abandonment is high at 100.00%.,54.05,Medium,Medium
189,مزيل عرق رول اون - اصدار خاص,مزيل عرق رول اون - اصدار خاص,الجمال والعنايه,unknown_subcategory,ماك,46.18,,False,50,14,0,24,50,14,0,14,24,40,14.0,0.0,23,23.0,14.0,23.0,False,1293.04,28,24,0.28,0.0,0.0,1.0,0.28,0.6,1.0,Moderate,0.2822145545415421,0.2822145545415421,24.0,24.0,24.0,0.0,6.768778422340422,2.8,19.580645161290324,0.0886422870661113,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,3.2,0,1228.0,70,14,70,3,1293.04,24,3.2,50,14,0,2024-01-01,2024-12-30,132|199|122|104|149,عطر رجالي عودي - اصدار خاص|زيت ارغان طبيعي - اصدار خاص|طقم مكياج احترافي - اصدار خاص|قناع وجه كولاجين - اصدار خاص|طقم مكياج احترافي - اصدار خاص,377.6259999999999,3.3400000000000007,2.708809523809524,0.9681127434962398,132,عطر رجالي عودي - اصدار خاص,False,True,True,True,False,False,True,trust,content,5.4,تقييم المنتج أقل من متوسط المنتجات المشابهة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,5,37,غسول وجه للبشره الحساسه,,Substitute,0.9,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | content): Product content richness or image coverage lags similar products.",Moderate Performance,High Abandonment + Weak Content,conversion_friction|trust|content,3,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with غسول وجه للبشره الحساسه where relevant.,فعّل باقة او ربطا مع المنتج غسول وجه للبشره الحساسه عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 60.00% vs category avg 676.88%.,Rating trails peers (3.20 vs 3.34).,Cart abandonment is high at 100.00%.,53.98,Medium,Medium
185,سماعات لاسلكيه - اصدار خاص,سماعات لاسلكيه - اصدار خاص,الالكترونيات,unknown_subcategory,لينوفو,329.38,,False,41,14,0,30,41,14,0,14,30,38,14.0,0.0,29,29.0,14.0,29.0,False,10869.54,33,30,0.3414634146341463,0.0,0.0,1.0,0.3414634146341463,0.7894736842105263,1.0,Moderate,0.2148381236148658,0.2148381236148658,28.0,28.0,28.0,0.0,7.961233440029987,1.9,20.12121212121212,0.0991647450307088,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,3.2,0,1202.0,87,14,87,3,10869.54,30,3.2,41,14,0,2024-01-01,2024-12-30,137|194|102|115|7,راوتر واي فاي 6 - اصدار خاص|ساعه ذكيه سبورت - اصدار خاص|تابلت 10 انش - اصدار خاص|شاحن لاسلكي سريع - اصدار خاص|كاميرا ميرورليس,1070.714,3.6,1.5227546138072454,0.933662187038642,137,راوتر واي فاي 6 - اصدار خاص,False,True,True,False,False,False,True,trust,none,5.3,قوة العلامة التجارية أقل من منافسيه داخل المجموعة | تقييم المنتج أقل من متوسط المنتجات المشابهة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,0,126,شاحن لاسلكي سريع - اصدار خاص,,Substitute,0.8,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers.",Moderate Performance,High Abandonment,conversion_friction|trust,2,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with شاحن لاسلكي سريع - اصدار خاص where relevant.,فعّل باقة او ربطا مع المنتج شاحن لاسلكي سريع - اصدار خاص عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 78.95% vs category avg 796.12%.,Rating trails peers (3.20 vs 3.60).,Cart abandonment is high at 100.00%.,53.84,Medium,Medium
112,شاشه 4K 27 انش - اصدار خاص,شاشه 4K 27 انش - اصدار خاص,الالكترونيات,unknown_subcategory,ال جي,2651.9,,False,41,13,0,33,41,13,0,13,33,39,13.0,0.0,32,32.0,13.0,32.0,False,98120.3,37,33,0.3170731707317073,0.0,0.0,1.0,0.3170731707317073,0.8461538461538461,1.0,Moderate,0.2253897836838084,0.2253897836838084,26.0,26.0,26.0,0.0,7.961233440029987,1.9,20.12121212121212,0.1062842651867596,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,4.9,0,1096.0,79,15,79,3,98120.3,33,4.9,41,13,0,2024-01-01,2024-12-30,90|81|147|102|107,شاشه 4K 27 انش - اصدار خاص|شاشه 4K 27 انش - اصدار خاص|هاتف ذكي برو ماكس - اصدار خاص|تابلت 10 انش - اصدار خاص|كاميرا ميرورليس - اصدار خاص,2968.92,4.3,2.294572795625428,0.96068720578532,90,شاشه 4K 27 انش - اصدار خاص,True,False,True,False,False,False,True,pricing,trust,5.0,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,0,3,سماعات لاسلكيه,,Substitute,1.3,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing): The product appears overpriced relative to its closest peer group.",Moderate Performance,High Abandonment + High Price vs Peers,conversion_friction|pricing|trust,3,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with سماعات لاسلكيه where relevant.,فعّل باقة او ربطا مع المنتج سماعات لاسلكيه عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 84.62% vs category avg 796.12%.,Price is above peer average (2651.90 vs 2968.92).,Cart abandonment is high at 100.00%.,53.8,Medium,Medium
146,اوزان حديد طقم 20 كيلو - اصدار خاص,اوزان حديد طقم 20 كيلو - اصدار خاص,الرياضه واللياقه,unknown_subcategory,اندر ارمور,323.76,,False,24,8,0,20,24,8,0,8,20,23,8.0,0.0,19,19.0,8.0,19.0,False,6798.96,21,20,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.8695652173913043,1.0,Moderate,-0.1476645667218614,-0.1476645667218614,52.0,52.0,52.0,0.0,8.50970943604373,2.117647058823529,17.666666666666668,0.1021850656507933,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,3.4,0,1081.0,88,17,88,2,6798.96,20,3.4,24,8,0,2024-01-01,2024-12-30,123|157|117|114|76,عداد خطوات ذكي - اصدار خاص|جهاز قياس ضغط الدم - اصدار خاص|حصيره يوغا مضاده للانزلاق - اصدار خاص|حقيبه رياضيه جيم - اصدار خاص|حقيبه رياضيه جيم - اصدار خاص,187.2,4.12,1.6379186602870814,0.916434173599031,123,عداد خطوات ذكي - اصدار خاص,True,True,True,True,False,False,True,pricing,trust,6.6,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | تقييم المنتج أقل من متوسط المنتجات المشابهة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,1,96,دراجه هواييه جبليه - اصدار خاص,,Substitute,0.7,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",Moderate Performance,High Abandonment + High Price vs Peers + Weak Content,conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with دراجه هواييه جبليه - اصدار خاص where relevant.,فعّل باقة او ربطا مع المنتج دراجه هواييه جبليه - اصدار خاص عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 86.96% vs category avg 850.97%.,Price is above peer average (323.76 vs 187.20).,Rating trails peers (3.40 vs 4.12).,53.79,Medium,Medium
131,اوزان حديد طقم 20 كيلو - اصدار خاص,اوزان حديد طقم 20 كيلو - اصدار خاص,الرياضه واللياقه,unknown_subcategory,ديكاتلون,457.64,,False,41,10,0,35,41,10,0,10,35,38,10.0,0.0,35,35.0,10.0,35.0,False,16932.68,37,35,0.2439024390243902,0.0,0.0,1.0,0.2439024390243902,0.9210526315789472,1.0,Moderate,0.1063190228184935,0.1063190228184935,34.0,34.0,34.0,0.0,8.50970943604373,2.117647058823529,17.666666666666668,0.1082354971695903,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,2.7,0,1215.0,85,16,85,1,16932.68,35,2.7,41,10,0,2024-01-01,2024-12-30,139|118|159|71|165,حقيبه رياضيه جيم - اصدار خاص|حصيره يوغا مضاده للانزلاق - اصدار خاص|حصيره يوغا مضاده للانزلاق - اصدار خاص|حصيره يوغا مضاده للانزلاق - اصدار خاص|حذاء جري احترافي - اصدار خاص,353.63800000000003,3.7,2.675383244206773,0.8720623872196782,139,حقيبه رياضيه جيم - اصدار خاص,True,True,True,True,False,False,True,pricing,trust,7.6,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | تقييم المنتج أقل من متوسط المنتجات المشابهة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,1,48,حقيبه رياضيه جيم,,Substitute,0.9,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",Moderate Performance,High Abandonment + High Price vs Peers + Weak Content,conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with حقيبه رياضيه جيم where relevant.,فعّل باقة او ربطا مع المنتج حقيبه رياضيه جيم عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 92.11% vs category avg 850.97%.,Price is above peer average (457.64 vs 353.64).,Rating trails peers (2.70 vs 3.70).,53.74,Medium,Medium
21,مكيف هواء انفيرتر 18000,مكيف هواء انفيرتر 18000,المنزل والمطبخ,unknown_subcategory,بوش,2953.99,,False,53,18,0,27,53,18,0,18,27,44,17.0,0.0,26,26.0,17.0,26.0,False,79757.73,27,27,0.3396226415094339,0.0,0.0,1.0,0.3396226415094339,0.6136363636363636,1.0,Moderate,0.4696699138668212,0.4696699138668212,11.0,11.0,11.0,0.0,4.391284662352632,1.9285714285714288,21.80555555555556,0.1397396003263445,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,4.1,0,1142.0,67,10,67,8,79757.73,27,4.1,53,18,0,2024-01-01,2024-12-30,23|154|178|134|130,ثلاجه نوفروست 350 لتر|ثلاجه نوفروست 350 لتر - اصدار خاص|مكيف هواء انفيرتر 18000 - اصدار خاص|ثلاجه نوفروست 350 لتر - اصدار خاص|ثلاجه نوفروست 350 لتر - اصدار خاص,3429.914,4.1,2.1154512154512157,0.9203988848097852,23,ثلاجه نوفروست 350 لتر,True,False,True,False,True,False,True,pricing,trust,5.1,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | الوصف أقصر من المعتاد ولا يقدم معلومات كافية | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,4,176,فرن كهربايي 60 لتر - اصدار خاص,,Substitute,1.1,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",Moderate Performance,High Abandonment + High Price vs Peers + Weak Content,conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with فرن كهربايي 60 لتر - اصدار خاص where relevant.,فعّل باقة او ربطا مع المنتج فرن كهربايي 60 لتر - اصدار خاص عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 61.36% vs category avg 439.13%.,Price is above peer average (2953.99 vs 3429.91).,Cart abandonment is high at 100.00%.,53.36,Medium,Medium
150,اطلس العالم المصور - اصدار خاص,اطلس العالم المصور - اصدار خاص,الكتب والتعليم,unknown_subcategory,بنغوين,244.37,,False,59,13,0,28,59,13,0,13,28,56,12.0,0.0,27,27.0,12.0,27.0,False,7331.1,30,28,0.2203389830508474,0.0,0.0,1.0,0.2203389830508474,0.5,1.0,Moderate,0.3447847417484734,0.3447847417484734,20.0,20.0,20.0,0.0,3.3634956997365264,2.083333333333333,23.17142857142857,0.1486548652460494,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,4.4,0,1192.0,78,14,78,2,7331.1,28,4.4,59,13,0,2024-01-01,2024-12-30,200|94|59|55|99,موسوعه التاريخ الاسلامي - اصدار خاص|قاموس عربي انجليزي شامل - اصدار خاص|كتاب تطوير الذات والتحفيز|روايه عربيه بيست سيلر|مجموعه كتب الطفل التعليميه - اصدار خاص,158.41199999999998,4.38,3.065555555555555,0.9366389528165996,200,موسوعه التاريخ الاسلامي - اصدار خاص,True,False,True,True,False,False,True,pricing,trust,5.1,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,3,51,كتاب تعلم البرمجه بالعربيه,,Substitute,1.7,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",Moderate Performance,High Abandonment + High Price vs Peers + Weak Content,conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with كتاب تعلم البرمجه بالعربيه where relevant.,فعّل باقة او ربطا مع المنتج كتاب تعلم البرمجه بالعربيه عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 50.00% vs category avg 336.35%.,Price is above peer average (244.37 vs 158.41).,Cart abandonment is high at 100.00%.,53.31,Medium,Medium
64,عطر رجالي عودي - اصدار خاص,عطر رجالي عودي - اصدار خاص,الجمال والعنايه,unknown_subcategory,لوريال,578.73,,False,43,11,0,40,43,11,0,11,40,40,11.0,0.0,38,38.0,11.0,38.0,False,25464.120000000003,44,40,0.2558139534883721,0.0,0.0,1.0,0.2558139534883721,1.0,1.0,Moderate,0.1695489456276913,0.1695489456276913,33.0,33.0,33.0,0.0,6.768778422340422,2.8,19.580645161290324,0.1477371451101855,False,False,False,High,False,False,True,True,False,متوسط,انسحاب مرتفع بعد الإضافة للسلة,انسحاب مرتفع بعد الإضافة للسلة,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,3.5,0,1176.0,68,13,68,2,25464.120000000003,40,3.5,43,11,0,2024-01-01,2024-12-30,78|109|181|160|182,عطر رجالي عودي - اصدار خاص|قناع وجه كولاجين - اصدار خاص|عطر رجالي عودي - اصدار خاص|زيت ارغان طبيعي - اصدار خاص|سيروم فيتامين سي - اصدار خاص,304.98400000000004,3.4799999999999995,2.9398168498168493,0.9179544172785882,78,عطر رجالي عودي - اصدار خاص,True,False,True,True,False,False,True,pricing,trust,6.1,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,5,31,كريم مرطب SPF 50,,Substitute,1.3,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.,منتجات من نفس القسم يميل العملاء لضمّها — فرصة بيع تكميلي داخلي.,True,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",Moderate Performance,High Abandonment + High Price vs Peers + Weak Content,conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Bundle with كريم مرطب SPF 50 where relevant.,فعّل باقة او ربطا مع المنتج كريم مرطب SPF 50 عندما يكون ذلك مناسبا.,conversion+bundle,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Conversion 100.00% vs category avg 676.88%.,Price is above peer average (578.73 vs 304.98).,Cart abandonment is high at 100.00%.,53.28,Medium,Medium
